regionId,name,country,color,coordinates,frequency,width
2490->18,A Coruña->巴塞罗那,Spain,#188D06,"<MultiGeometry><LineString><coordinates>-8.41154,43.362344,0.0 2.173404,41.385064,0.0</coordinates></LineString></MultiGeometry>",1,1
548->18,赫罗纳->巴塞罗那,Spain,#188D06,"<MultiGeometry><LineString><coordinates>2.821426,41.979401,0.0 2.173404,41.385064,0.0</coordinates></LineString></MultiGeometry>",1,1
51->45,冰岛西部区->雷克雅未克,Iceland,#FC6923,"<MultiGeometry><LineString><coordinates>-21.534129,64.770433,0.0 -21.817439,64.126521,0.0</coordinates></LineString></MultiGeometry>",4,3
279->1949,台北市->秀林乡,Taiwan,#E61301,"<MultiGeometry><LineString><coordinates>121.565427,25.032964,0.0 121.537,24.225858,0.0</coordinates></LineString></MultiGeometry>",1,1
1949->2002,秀林乡->新城乡,Taiwan,#E61301,"<MultiGeometry><LineString><coordinates>121.537,24.225858,0.0 121.611195,24.054804,0.0</coordinates></LineString></MultiGeometry>",1,1
2002->2010,新城乡->仁爱乡,Taiwan,#E61301,"<MultiGeometry><LineString><coordinates>121.611195,24.054804,0.0 121.125214,24.021375,0.0</coordinates></LineString></MultiGeometry>",1,1
2010->2013,仁爱乡->车埕,Taiwan,#E61301,"<MultiGeometry><LineString><coordinates>121.125214,24.021375,0.0 120.74649,22.084307,0.0</coordinates></LineString></MultiGeometry>",1,1
2013->450,车埕->垦丁,Taiwan,#E61301,"<MultiGeometry><LineString><coordinates>120.74649,22.084307,0.0 120.74649,21.977337,0.0</coordinates></LineString></MultiGeometry>",1,1
164->200,斯德哥尔摩->卑尔根,Sweden,#DE2827,"<MultiGeometry><LineString><coordinates>18.068581,59.329324,0.0 5.322054,60.391263,0.0</coordinates></LineString></MultiGeometry>",1,1
164->581,斯德哥尔摩->马尔默,Sweden,#DE2827,"<MultiGeometry><LineString><coordinates>18.068581,59.329324,0.0 13.003822,55.604981,0.0</coordinates></LineString></MultiGeometry>",1,1
164->964,斯德哥尔摩->林雪平,Sweden,#DE2827,"<MultiGeometry><LineString><coordinates>18.068581,59.329324,0.0 15.621373,58.410807,0.0</coordinates></LineString></MultiGeometry>",1,1
164->188,斯德哥尔摩->特罗姆瑟,Sweden,#DE2827,"<MultiGeometry><LineString><coordinates>18.068581,59.329324,0.0 18.955324,69.649205,0.0</coordinates></LineString></MultiGeometry>",2,1
164->342,斯德哥尔摩->斯塔万格,Sweden,#DE2827,"<MultiGeometry><LineString><coordinates>18.068581,59.329324,0.0 5.733107,58.969976,0.0</coordinates></LineString></MultiGeometry>",2,1
164->172,斯德哥尔摩->哥本哈根,Sweden,#DE2827,"<MultiGeometry><LineString><coordinates>18.068581,59.329324,0.0 12.568337,55.676097,0.0</coordinates></LineString></MultiGeometry>",1,1
182->169,凯米->罗瓦涅米,Finland,#24DA85,"<MultiGeometry><LineString><coordinates>24.565743,65.735568,0.0 25.729391,66.503948,0.0</coordinates></LineString></MultiGeometry>",1,1
182->28,凯米->赫尔辛基,Finland,#24DA85,"<MultiGeometry><LineString><coordinates>24.565743,65.735568,0.0 24.941025,60.173324,0.0</coordinates></LineString></MultiGeometry>",1,1
581->172,马尔默->哥本哈根,Sweden,#DE2827,"<MultiGeometry><LineString><coordinates>13.003822,55.604981,0.0 12.568337,55.676097,0.0</coordinates></LineString></MultiGeometry>",2,1
581->174,马尔默->赫尔辛堡,Sweden,#DE2827,"<MultiGeometry><LineString><coordinates>13.003822,55.604981,0.0 12.694512,56.046467,0.0</coordinates></LineString></MultiGeometry>",1,1
